sat,JD,RA,DEC,sigma_RA,sigma_DEC,omc_RA,omc_DEC
J1,2442280.4445816837,347.0225099376058,-7.104348218669167,0.11751384408760861,0.15227580543579194,0.0355007173570031,0.04241279061977087
J2,2442280.4445816837,346.93075043121024,-7.145688517634286,0.11707828880302427,0.15199734228264267,0.0015402998030664438,0.14933651656983915
J3,2442280.4445816837,346.8961053699209,-7.162253426498321,0.11645889779540845,0.15156892958365129,-0.05225731700980913,0.31166460521444794
J4,2442280.4445816837,347.10835266185387,-7.060667955149135,0.11955098259907043,0.15356453952359417,-0.061943987606414265,0.04336146196366732
J1,2442280.4459647783,347.02234291237636,-7.104468233805538,0.08107834487068553,0.15019982402340898,0.224745673248265,0.006358284802645956
J2,2442280.4459647783,346.93067602429073,-7.145761081761914,0.07943392063858727,0.14933479802831498,0.2358413052604704,0.10410564020401394
J3,2442280.4459647783,346.89603848859826,-7.162363695680687,0.07914811928564879,0.14918870924021435,0.3160731796170164,0.16669551909880861
J4,2442280.4459647783,347.1083158096144,-7.060703464446568,0.08430054246506749,0.1517316573597475,0.1636639779768786,0.05952798431225345
J1,2442280.44770088,347.0220206087054,-7.104688587185361,0.09527539987481284,0.1507554373397484,0.10934527055169496,-0.31891387091543766
J2,2442280.44770088,346.9304650754741,-7.145895913110313,0.0935853335257391,0.1496213786838703,0.16101127921550015,-0.12928720500720475
J3,2442280.44770088,346.8957783449788,-7.162502342557679,0.09284094075754745,0.14919781633101917,0.13696471542408006,-0.00843321335777935
J4,2442280.44770088,347.1081779553102,-7.060833078546881,0.09288069114917553,0.14923527137628392,0.0998758895484284,-0.22708277176534503
J1,2442280.449772628,347.02164222038357,-7.104853454084028,0.10117513649731988,0.11726124192926529,-0.027791569559881303,-0.33643470273044607
J2,2442280.449772628,346.9302089093224,-7.145992857632845,0.10074248912101218,0.11679053497043142,0.03182442603555336,-0.15428747855231545
J3,2442280.449772628,346.8954864835341,-7.1626362586120935,0.09936499712055799,0.11571192214745327,0.023158576969326387,-0.0945310036990309
J4,2442280.449772628,347.1080115417121,-7.060873098696175,0.09920967042956365,0.1155913417548291,0.04123505160675673,-0.11915530674191124
J1,2442280.4515087297,347.02137119153775,-7.104887347691529,0.11152767037993906,0.11668514930155073,0.039980168321267426,0.04554831001013104
J2,2442280.4515087297,346.9300524281254,-7.145975852393763,0.11125304364015111,0.1163653391918652,0.11583445633461227,0.19493137837425334
J3,2442280.4515087297,346.89525915928107,-7.162645929611243,0.11146681062318169,0.1165925470797835,-0.03872203244642238,0.15865339907261145
J4,2442280.4515087297,347.1078969765218,-7.060883595993984,0.11056085587623812,0.11574367091716173,0.06065198403784912,0.02305442054976079
J1,2442280.452891824,347.0210870299651,-7.104965217341047,0.1719689121869526,0.14356308591626743,-0.15350427944664732,0.16121756510853683
J2,2442280.452891824,346.92980691487,-7.146018275305067,0.17198497006400734,0.14358637945428568,-0.22534238319878153,0.258208886326341
J3,2442280.452891824,346.8950457374027,-7.162689196370841,0.17176560207395922,0.1433138445797672,-0.19382089613439546,0.2908930535355411
J4,2442280.452891824,347.10776755887406,-7.060845742426419,0.17184076792975123,0.14340350707958063,-0.08017537078649549,0.33932726296591104
